tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,<!DOCTYPE html>,lokasi_spku,s02,keterangan,kategori,Unnamed: 10,pm25,location
2010-01-01,DKI1 (Bunderan HI),60,4,73,27,14,73,CO,SEDANG,,,,,,,,
2010-01-02,DKI1 (Bunderan HI),32,2,16,33,9,33,O3,BAIK,,,,,,,,
2010-01-03,DKI1 (Bunderan HI),27,2,19,20,9,27,PM10,BAIK,,,,,,,,
2010-01-04,DKI1 (Bunderan HI),22,2,16,15,6,22,PM10,BAIK,,,,,,,,
2010-01-05,DKI1 (Bunderan HI),25,2,17,15,8,25,PM10,BAIK,,,,,,,,
2010-01-06,DKI1 (Bunderan HI),30,3,22,19,11,30,PM10,BAIK,,,,,,,,
2010-01-07,DKI1 (Bunderan HI),41,4,24,27,13,41,PM10,BAIK,,,,,,,,
2010-01-08,DKI1 (Bunderan HI),64,8,51,19,15,64,PM10,SEDANG,,,,,,,,
2010-01-09,DKI1 (Bunderan HI),55,5,39,23,16,55,PM10,SEDANG,,,,,,,,
2010-01-10,DKI1 (Bunderan HI),34,5,23,26,12,34,PM10,BAIK,,,,,,,,
2010-01-11,DKI1 (Bunderan HI),55,10,32,23,16,55,PM10,SEDANG,,,,,,,,
2010-01-12,DKI1 (Bunderan HI),45,4,33,9,17,45,PM10,BAIK,,,,,,,,
2010-01-13,DKI1 (Bunderan HI),28,5,29,10,12,29,CO,BAIK,,,,,,,,
2010-01-14,DKI1 (Bunderan HI),38,6,28,15,10,38,PM10,BAIK,,,,,,,,
2010-01-15,DKI1 (Bunderan HI),35,5,33,17,17,35,PM10,BAIK,,,,,,,,
2010-01-16,DKI1 (Bunderan HI),54,5,38,17,18,54,PM10,SEDANG,,,,,,,,
2010-01-17,DKI1 (Bunderan HI),44,4,28,22,14,44,PM10,BAIK,,,,,,,,
2010-01-18,DKI1 (Bunderan HI),38,4,29,24,15,38,PM10,BAIK,,,,,,,,
2010-01-19,DKI1 (Bunderan HI),40,3,43,23,23,43,CO,BAIK,,,,,,,,
2010-01-20,DKI1 (Bunderan HI),61,5,63,16,17,63,CO,SEDANG,,,,,,,,
2010-01-21,DKI1 (Bunderan HI),36,4,27,23,13,36,PM10,BAIK,,,,,,,,
2010-01-22,DKI1 (Bunderan HI),51,4,45,14,13,51,PM10,SEDANG,,,,,,,,
2010-01-23,DKI1 (Bunderan HI),35,3,30,20,14,35,PM10,BAIK,,,,,,,,
2010-01-24,DKI1 (Bunderan HI),56,6,46,30,14,56,PM10,SEDANG,,,,,,,,
2010-01-25,DKI1 (Bunderan HI),59,4,38,18,15,59,PM10,SEDANG,,,,,,,,
2010-01-26,DKI1 (Bunderan HI),43,5,42,19,24,43,PM10,BAIK,,,,,,,,
2010-01-27,DKI1 (Bunderan HI),54,8,38,40,16,54,PM10,SEDANG,,,,,,,,
2010-01-28,DKI1 (Bunderan HI),72,8,55,20,17,72,PM10,SEDANG,,,,,,,,
2010-01-29,DKI1 (Bunderan HI),51,8,24,19,11,51,PM10,SEDANG,,,,,,,,
2010-01-30,DKI1 (Bunderan HI),47,8,32,19,12,47,PM10,BAIK,,,,,,,,
2010-01-31,DKI1 (Bunderan HI),32,5,25,26,10,32,PM10,BAIK,,,,,,,,
2010-01-01,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-02,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-03,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-04,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-05,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-06,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-07,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-08,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-09,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-10,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-11,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-12,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-13,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-14,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-15,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-16,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-17,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-18,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-19,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-20,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-21,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-22,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-23,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-24,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-25,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-26,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-27,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-28,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-29,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-30,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-31,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-01,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-02,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-03,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-04,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-05,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-06,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-07,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-08,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-09,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-10,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-11,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-12,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-13,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-14,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-15,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-16,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-17,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-18,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-19,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-20,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-21,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-22,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
2010-01-23,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,
