,tanggal,pm10,so2,co,o3,no2
0,2010-01-01,60.0,4.0,73.0,27.0,14.0
1,2010-01-02,32.0,2.0,16.0,33.0,9.0
2,2010-01-03,27.0,2.0,19.0,20.0,9.0
3,2010-01-04,22.0,2.0,16.0,15.0,6.0
4,2010-01-05,25.0,2.0,17.0,15.0,8.0
5,2010-01-06,30.0,3.0,22.0,19.0,11.0
6,2010-01-07,41.0,4.0,24.0,27.0,13.0
7,2010-01-08,64.0,8.0,51.0,19.0,15.0
8,2010-01-09,55.0,5.0,39.0,23.0,16.0
9,2010-01-10,34.0,5.0,23.0,26.0,12.0
10,2010-01-11,55.0,10.0,32.0,23.0,16.0
11,2010-01-12,45.0,4.0,33.0,9.0,17.0
12,2010-01-13,28.0,5.0,29.0,10.0,12.0
13,2010-01-14,38.0,6.0,28.0,15.0,10.0
14,2010-01-15,35.0,5.0,33.0,17.0,17.0
15,2010-01-16,54.0,5.0,38.0,17.0,18.0
16,2010-01-17,44.0,4.0,28.0,22.0,14.0
17,2010-01-18,38.0,4.0,29.0,24.0,15.0
18,2010-01-19,40.0,3.0,43.0,23.0,23.0
19,2010-01-20,61.0,5.0,63.0,16.0,17.0
20,2010-01-21,36.0,4.0,27.0,23.0,13.0
21,2010-01-22,51.0,4.0,45.0,14.0,13.0
22,2010-01-23,35.0,3.0,30.0,20.0,14.0
23,2010-01-24,56.0,6.0,46.0,30.0,14.0
24,2010-01-25,59.0,4.0,38.0,18.0,15.0
25,2010-01-26,43.0,5.0,42.0,19.0,24.0
26,2010-01-27,54.0,8.0,38.0,40.0,16.0
27,2010-01-28,72.0,8.0,55.0,20.0,17.0
28,2010-01-29,51.0,8.0,24.0,19.0,11.0
29,2010-01-30,47.0,8.0,32.0,19.0,12.0
30,2010-01-31,32.0,5.0,25.0,26.0,10.0
31,2010-02-01,41.0,7.0,30.0,17.0,13.0
32,2010-02-02,50.0,4.0,30.0,23.0,12.0
33,2010-02-03,49.0,7.0,33.0,57.0,23.0
34,2010-02-04,59.0,9.0,38.0,75.0,26.0
35,2010-02-05,63.0,7.0,39.0,41.0,23.0
36,2010-02-06,65.0,8.0,59.0,24.0,15.0
37,2010-02-07,60.0,10.0,45.0,47.0,17.0
38,2010-02-08,46.0,5.0,31.0,42.0,17.0
39,2010-02-09,52.0,7.0,30.0,34.0,16.0
40,2010-02-10,50.0,8.0,31.0,39.0,14.0
41,2010-02-11,47.0,5.0,27.0,26.0,14.0
42,2010-02-12,56.0,6.0,33.0,45.0,20.0
43,2010-02-13,55.0,6.0,39.0,14.0,14.0
44,2010-02-14,55.0,6.0,61.0,16.0,13.0
45,2010-02-15,40.0,4.0,30.0,63.0,22.0
46,2010-02-16,56.0,4.0,43.0,25.0,20.0
47,2010-02-17,52.0,4.0,34.0,30.0,17.0
48,2010-02-18,41.0,5.0,26.0,14.0,10.0
49,2010-02-19,37.0,4.0,43.0,17.0,17.0
50,2010-02-20,52.0,3.0,64.0,18.0,12.0
51,2010-02-21,61.0,4.0,53.0,36.0,15.0
52,2010-02-22,34.0,4.0,31.0,23.0,16.0
53,2010-02-23,57.0,7.0,35.0,42.0,18.0
54,2010-02-24,59.0,4.0,44.0,93.0,24.0
55,2010-02-25,65.0,6.0,55.0,26.0,26.0
56,2010-02-26,68.0,9.0,67.0,67.0,22.0
